Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"700 N Loop 340, Bellmead, TX 76705, United States",c389f07a769a18ba3b4cc4bfebbaed9fb6c13b52,31.6037981,-97.10057359999999,Domino's Pizza,1.0,4.3,76705
"215 S 2nd St, Waco, TX 76701, USA",a1a1af8dbceb5f015b300ef4c15dd60eb0de29f8,31.557464,-97.12769899999999,Olive Branch Bakery & Cafe,2.0,3.7,76701
"601 N Loop 340, Bellmead, TX 76705, United States",ff3ae0d99870d1ad9349db50095dc6ed33da7b76,31.602703,-97.099778,Pizza Hut,1.0,3.5,76705
"1911 Franklin Ave, Waco, TX 76701, USA",4dde3c07ba719bb2be4d4ed041b054e19a5c78fd,31.5444937,-97.14421039999999,Lolita's Restaurante,2.0,4.3,76701
"613 Austin Ave, Waco, TX 76701, USA",dd87d8a3c990cd8fbfb4aa96a28583e246e0e440,31.5558492,-97.1334284,Jake's Texas Tea House,0.0,4.4,76701
"1520 Hewitt Dr, Waco, TX 76712, USA",723a4ef2298a3bec7f727f61bd5d245219082f19,31.4831733,-97.2080103,Domino's Pizza,1.0,3.3,76712
"2716 W Loop 340, Waco, TX 76711, USA",9341a8cbdd66fd15f30a8e733bbdc25fd1d2e390,31.496297,-97.15538000000001,Newk's Eatery,0.0,4.0,76711
"203 N Hewitt Dr, Hewitt, TX 76643, USA",7825276d6d5696dff934b2f577d10c4491340870,31.465184,-97.19894,Pizza Hut,1.0,4.3,76643
"10207 China Spring Rd, Waco, TX 76708, USA",9d947239725006c61b8a36450c1f67df232f8046,31.629754,-97.240451,Pizza Hut,1.0,4.0,76708
"1518 Evans Dr, Waco, TX 76704, USA",72dac99ee1d18117ca208cbf130e23abcddf241e,31.592982,-97.1265225,Swift P's JKP Pizza & Deli,0.0,0.0,76704
"120 S New Rd, Waco, TX 76710, USA",220eb2818e1454192f58a37ce4ee690d2355ad95,31.521763,-97.167835,Peter Piper Pizza,0.0,4.1,76710
"720 S 5th St #100, Waco, TX 76706, USA",47148266ee7e0fbc76a33329c108b3b35dffa608,31.551533,-97.12486709999999,Pie Five Pizza Co.,0.0,4.3,76706
"5929 W Waco Dr, Waco, TX 76710, USA",c5e3a7098d7bf1a18112423269e36ab6dae6a786,31.5137107,-97.1888082,BJ's Restaurant & Brewhouse,0.0,3.8,76710
"901 N LOOP 340 Ste 4, Bellmead, TX 76705, USA",9d7d397981f0ca950636877d4fd7ab16c9e24aaf,31.6026749,-97.10320259999999,Cicis,0.0,3.4,76705
"301 La Salle Ave B, Waco, TX 76706, USA",b7d681410feed12bcf166944ddba0b65b481a018,31.5421892,-97.1112856,pizza express,0.0,5.0,76706
"160 N New Rd, Waco, TX 76710, USA",b5e9768f5a2b27ced0ad44561cc3965ab26537b5,31.5245911,-97.17154959999999,DoubleDave's Waco,2.0,4.2,76710
"5201 W Waco Dr, Waco, TX 76710, USA",544191db6a37a8b7b368a840465ec3446730742b,31.5194898,-97.1810957,Fazoli's,1.0,4.1,76710
"5106 W Waco Dr, Waco, TX 76710, USA",affbfe3e1d7348ae7cb4366f6eeefdf2ed44659d,31.518094,-97.179717,Chuck E. Cheese's,2.0,3.9,76710
"5201 Bosque Blvd, Waco, TX 76710, USA",ccbf8b86fe07d98b55eb10ab0cef43cd1322b6b7,31.53475,-97.19124599999999,Pizza Patron,0.0,4.0,76710
"705 New Dallas Hwy, Waco, TX 76705, USA",b5b3633c928e2f458d193bc84d916a9fc8143d90,31.607949,-97.1110819,Mama Lena's Pizzas & Subs,0.0,3.0,76705
"100 B Midway Center, Woodway, TX 76712, United States",cf7ffa3a8ac534ca6aad09c1087d4f8fd7d56013,31.4987271,-97.2197715,Marco's Pizza,2.0,4.5,76712
"4641 Jack Kultgen Fwy, Waco, TX 76711, USA",a4ede9e28ac48135b1670634235738ff98477155,31.4978422,-97.1494687,Old Chicago Pizza and Taproom,0.0,3.8,76711
"408-A N Valley Mills Dr, Waco, TX 76710, United States",ce4efa4e0bedcf35defdd149099f4433f99b2340,31.5269781,-97.1681727,Papa John's Pizza,0.0,4.5,76710
"9901 China Spring Rd Ste A, Waco, TX 76708, USA",1a4cba13d0bb9c9338a4daca3fdbcb9a2332049a,31.6287196,-97.2352669,Domino's Pizza,1.0,3.6,76708
"Interstate 35 N, 2518, 100 N Interstate 35 Frontage Rd, Waco, TX 76704, United States",693500adf6292e6cda258c6818f7473eb1965749,31.55837559999999,-97.1197404,Buzzard Billy's,2.0,4.0,76704
"225 N Hewitt Dr, Hewitt, TX 76643, USA",715a6061622cf9ebcbd0e550eb67d77da71a662d,31.46602919999999,-97.1985205,Little Caesars Pizza,1.0,3.9,76643
"621 N Valley Mills Dr, Waco, TX 76710, USA",1a6b37262585a7506c4c0265543fe6ba944929f4,31.529802,-97.175814,Schlotzsky's,2.0,4.3,76710
"504 S Robinson Dr, Robinson, TX 76706, USA",fce62188503b8b4403c32b10435d2381592e6510,31.4663789,-97.1132562,Pizza Junction,0.0,4.5,76706
"911 N Hewitt Dr, Hewitt, TX 76643, USA",3961432f0b56955dc77f34ed9bda2f5ee475f34d,31.4795062,-97.206979,Papa John's Pizza,0.0,3.8,76643
"1000 Elm Ave, Waco, TX 76704, USA",240935aa73f8ca71c41c1d9bd0973da70c281d32,31.5694261,-97.1211786,Tony DeMaria's Bar-B-Que,1.0,4.6,76704
"121 Garrison St, Waco, TX 76704, USA",d5e22d83203ddff36ddd216f43b9b985812e9348,31.5795875,-97.1206488,Swift P's Jkp Pizza & Deli Sandwiches,0.0,0.0,76704
"3125 Bellmead Dr, Bellmead, TX 76705, USA",416d197b7e14cb2d2c06608ecbf7f4eddd492882,31.5904523,-97.0996462,Baris Express,0.0,4.7,76705
"903 N Interstate 35 Frontage Rd #113, Bellmead, TX 76705, USA",ba4af84c59ee06a9b7ab932cfc665e0e0e8cd1a7,31.5882085,-97.1085499,Chopsticks,2.0,4.1,76705
"1508 N Interstate 35 Frontage Rd, Waco, TX 76706, USA",ef6e292517aa96534c099f87873a8b7234ab1208,31.537414,-97.12818399999999,Schlotzsky's,2.0,4.3,76706
"2601 S. Jack Kultgen Expressway, Waco, TX 76706, USA",f93994808446c096ce58c918fa8a5dcadfcda1b5,31.5263423,-97.13435369999999,Bubba's 33,0.0,4.4,76706
"1121 Speight Ave, Waco, TX 76706, USA",4069b70dfade6972fb1ada95f4614a8a67ac967d,31.5402701,-97.124549,Terry & Jo's Food for Thought,2.0,4.1,76706
"1700 S 5th St c, Waco, TX 76706, USA",987d0fc864f7c44a001ca0180de8ab7c48c86c05,31.5432042,-97.11620119999999,The Mix Cafe,0.0,4.6,76706
"3315 Hillcrest Dr, Waco, TX 76708, USA",589a3ae48bac2e128e1f23fb3ecb8c81a9e8d88a,31.5566237,-97.17908919999999,Mama Lena's Pizzas & Subs,0.0,3.0,76708
"4315 Lake Shore Dr, Waco, TX 76710, USA",ebe37cd5f008c437b3ba32c9528e42616b9f5a21,31.5633239,-97.19477169999999,"Chuck's Pizza, Pasta & Wings",2.0,4.3,76710
"1901 N 18th St, Waco, TX 76707, USA",8526b35ff8dbcd4a085c3d61bd1c1076ba631cf0,31.5621052,-97.15820719999999,Olympic,0.0,4.3,76707
"6001 W Waco Dr #109, Waco, TX 76710, United States",afa971bbc626caf9aed730dce4ca0d97d2fe9018,31.5164614,-97.1870234,Italia Express,0.0,5.0,76710
"22002 Woodway Dr, Woodway, TX 76712, USA",8e185600664e94a3a5fc0e12278cb5f556f45aa0,31.4847973,-97.2568882,Tony's Pizza Services,2.0,0.0,76712
"9901 China Spring Rd, Waco, TX 76708, USA",79828252d3c6c064f04eeda883c5a5932d2a6d12,31.6286956,-97.2352216,Heaven Sent Pizza Corporation LP,0.0,0.0,76708
"723 N Valley Mills Dr, Waco, TX 76710, USA",0d4c3a263e8228905229e029c367f6630a0c16d5,31.529827,-97.1774725,Arby's,1.0,3.9,76710
"1321 N 15th St, Waco, TX 76707, USA",b745887b85aaf82e365decc60d02c7f8ed7daabf,31.558985,-97.150605,World Cup Cafe and Fair Trade Market,1.0,4.5,76707
"1503 Colcord Ave, Waco, TX 76707, USA",f158e8801678242292225de10b31ebacd9f55750,31.5591661,-97.15114589999999,D's Mediterranean Grill,0.0,4.5,76707
"Waco, TX 76706, USA",cada0cdf51dae3f8fd33ec8dda6358849595d9c0,31.5457048,-97.12449459999999,Westside Pizza,0.0,0.0,76706
"5921 W Waco Dr, Waco, TX 76710, USA",75ebb096d8baf133ff675c644222198f6c12229c,31.514652,-97.187333,Olive Garden Italian Restaurant,2.0,4.1,76710
"1800 S Valley Mills Dr, Waco, TX 76711, USA",0a83d709ff1e549c4c3470c521e4f40864084188,31.52520849999999,-97.1369778,Chili's Grill & Bar,1.0,3.9,76711
"1810 S Valley Mills Dr, Waco, TX 76711, USA",861cf9bf6ca1ad530298e7c37492c545233899c6,31.5252263,-97.1365562,Zoës Kitchen,0.0,4.3,76711
"5925 W Waco Dr, Waco, TX 76710, USA",244fbb2765516925c967a7b46bfc06a9c490178e,31.514011,-97.18807900000002,Red Lobster,1.0,4.2,76710
"1727 S Valley Mills Dr, Waco, TX 76711, USA",af676d8125498ef0fb8957190baeb7c30ff3120e,31.5245073,-97.13935579999999,Pizza Patron,0.0,4.1,76711
